"lhs","","rhs","support","confidence","coverage","lift","count"
"{jimmy=1, yuriko=1}","=>","{res=1}",0.125,0.703703703703704,0.177631578947368,1.55018786902845,19
"{francois=0, yuriko=1}","=>","{res=1}",0.197368421052632,0.697674418604651,0.282894736842105,1.53690596562184,30
"{barbara=0, yuriko=1}","=>","{res=1}",0.177631578947368,0.675,0.263157894736842,1.48695652173913,27
"{rick=1, steeve=0}","=>","{res=1}",0.131578947368421,0.606060606060606,0.217105263157895,1.3350900307422,20
"{barbara=0, shelda=0}","=>","{res=1}",0.263157894736842,0.606060606060606,0.434210526315789,1.3350900307422,40
"{alonso=0, yuriko=1}","=>","{res=1}",0.236842105263158,0.6,0.394736842105263,1.32173913043478,36
"{francois=0, shelda=0}","=>","{res=1}",0.256578947368421,0.6,0.427631578947368,1.32173913043478,39
"{ana=0, yuriko=1}","=>","{res=1}",0.25,0.59375,0.421052631578947,1.30797101449275,38
"{jimmy=1, shelda=0}","=>","{res=1}",0.210526315789474,0.592592592592593,0.355263157894737,1.30542136339238,32
"{francois=0, steeve=0}","=>","{res=1}",0.217105263157895,0.589285714285714,0.368421052631579,1.29813664596273,33
"{shelda=0, yuriko=1}","=>","{res=1}",0.243421052631579,0.587301587301587,0.414473684210526,1.29376581550495,37
"{steeve=0, yuriko=1}","=>","{res=1}",0.203947368421053,0.584905660377358,0.348684210526316,1.28848783155592,31
"{rick=1, shelda=0}","=>","{res=1}",0.125,0.575757575757576,0.217105263157895,1.26833552920509,19
"{barbara=0, jimmy=1}","=>","{res=1}",0.203947368421053,0.574074074074074,0.355263157894737,1.26462694578637,31
"{barbara=0, rick=1}","=>","{res=1}",0.131578947368421,0.571428571428571,0.230263157894737,1.25879917184265,20
"{rick=0, yuriko=1}","=>","{res=1}",0.190789473684211,0.568627450980392,0.335526315789474,1.25262858766695,29
"{barbara=0, steeve=0}","=>","{res=1}",0.230263157894737,0.564516129032258,0.407894736842105,1.24357176250584,35
"{francois=0, rick=0}","=>","{res=1}",0.184210526315789,0.56,0.328947368421053,1.2336231884058,28
"{jimmy=1, rick=0}","=>","{res=1}",0.164473684210526,0.555555555555556,0.296052631578947,1.22383252818035,25
"{alonso=0, jimmy=1}","=>","{res=1}",0.203947368421053,0.553571428571429,0.368421052631579,1.21946169772257,31
"{ana=0, jimmy=1}","=>","{res=1}",0.210526315789474,0.551724137931034,0.381578947368421,1.21539230384808,32
"{barbara=0, francois=0}","=>","{res=1}",0.217105263157895,0.55,0.394736842105263,1.21159420289855,33
"{alonso=0, barbara=0}","=>","{res=1}",0.302631578947368,0.547619047619048,0.552631578947368,1.20634920634921,46
"{francois=0, jimmy=1}","=>","{res=1}",0.164473684210526,0.543478260869565,0.302631578947368,1.19722747321991,25
"{jimmy=1, steeve=0}","=>","{res=1}",0.177631578947368,0.54,0.328947368421053,1.1895652173913,27
"{alonso=0, rick=1}","=>","{res=1}",0.151315789473684,0.534883720930233,0.282894736842105,1.17829457364341,23
"{ana=0, rick=1}","=>","{res=1}",0.151315789473684,0.534883720930233,0.282894736842105,1.17829457364341,23
"{ana=0, barbara=0}","=>","{res=1}",0.309210526315789,0.534090909090909,0.578947368421053,1.17654808959157,47
"{alonso=0, francois=0}","=>","{res=1}",0.282894736842105,0.530864197530864,0.532894736842105,1.16943997137234,43
"{ana=0, francois=0}","=>","{res=1}",0.289473684210526,0.530120481927711,0.546052631578947,1.167801641348,44
"{jimmy=0, yuriko=1}","=>","{res=1}",0.125,0.513513513513513,0.243421052631579,1.13121817469644,19
"{francois=0, jimmy=0}","=>","{res=1}",0.138157894736842,0.51219512195122,0.269736842105263,1.12831389183457,21
"{barbara=0, rick=0}","=>","{res=1}",0.190789473684211,0.508771929824561,0.375,1.1207729468599,29
"{barbara=0, francois=1}","=>","{res=1}",0.105263157894737,0.5,0.210526315789474,1.10144927536232,16
